CODES,DATES,CLOSE
000300.SH,2009/01/05,1882.959
000300.SH,2009/01/06,1942.795
000300.SH,2009/01/07,1931.178
000300.SH,2009/01/08,1887.991
000300.SH,2009/01/09,1918.365
000300.SH,2009/01/12,1920.687
000300.SH,2009/01/13,1876.185
000300.SH,2009/01/14,1955.244
000300.SH,2009/01/15,1954.874
000300.SH,2009/01/16,1990.214
000300.SH,2009/01/19,2012.465
000300.SH,2009/01/20,2025.19
000300.SH,2009/01/21,2021.71
000300.SH,2009/01/22,2044.551
000300.SH,2009/01/23,2032.682
000300.SH,2009/02/02,2057.063
000300.SH,2009/02/03,2108.91
000300.SH,2009/02/04,2166.414
000300.SH,2009/02/05,2150.971
000300.SH,2009/02/06,2237.28
000300.SH,2009/02/09,2296.672
000300.SH,2009/02/10,2326.755
000300.SH,2009/02/11,2331.138
000300.SH,2009/02/12,2318.343
000300.SH,2009/02/13,2399.065
000300.SH,2009/02/16,2462.245
000300.SH,2009/02/17,2385.293
000300.SH,2009/02/18,2275.843
000300.SH,2009/02/19,2298.412
000300.SH,2009/02/20,2344.32
000300.SH,2009/02/23,2410.481
000300.SH,2009/02/24,2301.849
000300.SH,2009/02/25,2304.251
000300.SH,2009/02/26,2190.185
000300.SH,2009/02/27,2140.489
000300.SH,2009/03/02,2164.666
000300.SH,2009/03/03,2142.154
000300.SH,2009/03/04,2285.149
000300.SH,2009/03/05,2304.919
000300.SH,2009/03/06,2286.576
000300.SH,2009/03/09,2202.527
000300.SH,2009/03/10,2240.782
000300.SH,2009/03/11,2220.38
000300.SH,2009/03/12,2215.7
000300.SH,2009/03/13,2205.422
000300.SH,2009/03/16,2241.614
000300.SH,2009/03/17,2322.403
000300.SH,2009/03/18,2332.652
000300.SH,2009/03/19,2382.564
000300.SH,2009/03/20,2379.838
000300.SH,2009/03/23,2439.395
000300.SH,2009/03/24,2451.783
000300.SH,2009/03/25,2401.327
000300.SH,2009/03/26,2479.789
000300.SH,2009/03/27,2498.931
000300.SH,2009/03/30,2484.487
000300.SH,2009/03/31,2507.789
000300.SH,2009/04/01,2548.222
000300.SH,2009/04/02,2576.4
000300.SH,2009/04/03,2570.503
000300.SH,2009/04/07,2576.95
000300.SH,2009/04/08,2479.348
000300.SH,2009/04/09,2517.669
000300.SH,2009/04/10,2595.53
000300.SH,2009/04/13,2656.518
000300.SH,2009/04/14,2676.872
000300.SH,2009/04/15,2686.99
000300.SH,2009/04/16,2687.106
000300.SH,2009/04/17,2650.691
000300.SH,2009/04/20,2707.667
000300.SH,2009/04/21,2675.442
000300.SH,2009/04/22,2576.281
000300.SH,2009/04/23,2593.564
000300.SH,2009/04/24,2572.888
000300.SH,2009/04/27,2513.292
000300.SH,2009/04/28,2518.531
000300.SH,2009/04/29,2605.37
000300.SH,2009/04/30,2622.926
000300.SH,2009/05/04,2714.301
000300.SH,2009/05/05,2727.014
000300.SH,2009/05/06,2764.979
000300.SH,2009/05/07,2767.076
000300.SH,2009/05/08,2789.219
000300.SH,2009/05/11,2725.316
000300.SH,2009/05/12,2788.562
000300.SH,2009/05/13,2814.005
000300.SH,2009/05/14,2792.597
000300.SH,2009/05/15,2796.116
000300.SH,2009/05/18,2810.573
000300.SH,2009/05/19,2840.084
000300.SH,2009/05/20,2812.865
000300.SH,2009/05/21,2750.01
000300.SH,2009/05/22,2740.677
000300.SH,2009/05/25,2752.716
000300.SH,2009/05/26,2719.764
000300.SH,2009/05/27,2759.712
000300.SH,2009/06/01,2858.342
000300.SH,2009/06/02,2865.099
000300.SH,2009/06/03,2939.387
000300.SH,2009/06/04,2953.751
000300.SH,2009/06/05,2939.306
000300.SH,2009/06/08,2948.478
000300.SH,2009/06/09,2960.556
000300.SH,2009/06/10,2989.595
000300.SH,2009/06/11,2961.629
000300.SH,2009/06/12,2906.286
000300.SH,2009/06/15,2966.192
000300.SH,2009/06/16,2961.22
000300.SH,2009/06/17,3010.588
000300.SH,2009/06/18,3057.428
000300.SH,2009/06/19,3080.001
000300.SH,2009/06/22,3082.563
000300.SH,2009/06/23,3083.895
000300.SH,2009/06/24,3120.73
000300.SH,2009/06/25,3117.921
000300.SH,2009/06/26,3128.421
000300.SH,2009/06/29,3179.972
000300.SH,2009/06/30,3166.474
000300.SH,2009/07/01,3237.903
000300.SH,2009/07/02,3282.359
000300.SH,2009/07/03,3327.135
000300.SH,2009/07/06,3374.753
000300.SH,2009/07/07,3340.493
000300.SH,2009/07/08,3352.269
000300.SH,2009/07/09,3396.304
000300.SH,2009/07/10,3398.31
000300.SH,2009/07/13,3361.011
000300.SH,2009/07/14,3454.753
000300.SH,2009/07/15,3493.305
000300.SH,2009/07/16,3501.24
000300.SH,2009/07/17,3519.809
000300.SH,2009/07/20,3591.123
000300.SH,2009/07/21,3539.832
000300.SH,2009/07/22,3606.924
000300.SH,2009/07/23,3651.969
000300.SH,2009/07/24,3667.556
000300.SH,2009/07/27,3743.626
000300.SH,2009/07/28,3755.818
000300.SH,2009/07/29,3558.508
000300.SH,2009/07/30,3634.818
000300.SH,2009/07/31,3734.622
000300.SH,2009/08/03,3787.033
000300.SH,2009/08/04,3786.615
000300.SH,2009/08/05,3740.936
000300.SH,2009/08/06,3663.12
000300.SH,2009/08/07,3555.095
000300.SH,2009/08/10,3544.539
000300.SH,2009/08/11,3556.375
000300.SH,2009/08/12,3397.4
000300.SH,2009/08/13,3440.82
000300.SH,2009/08/14,3344.462
000300.SH,2009/08/17,3140.271
000300.SH,2009/08/18,3171.986
000300.SH,2009/08/19,3014.568
000300.SH,2009/08/20,3144.39
000300.SH,2009/08/21,3203.624
000300.SH,2009/08/24,3229.6
000300.SH,2009/08/25,3109.83
000300.SH,2009/08/26,3172.386
000300.SH,2009/08/27,3156.301
000300.SH,2009/08/28,3046.781
000300.SH,2009/08/31,2830.271
000300.SH,2009/09/01,2843.7
000300.SH,2009/09/02,2890.926
000300.SH,2009/09/03,3051.964
000300.SH,2009/09/04,3077.142
000300.SH,2009/09/07,3104.208
000300.SH,2009/09/08,3170.967
000300.SH,2009/09/09,3194.909
000300.SH,2009/09/10,3162.914
000300.SH,2009/09/11,3238.133
000300.SH,2009/09/14,3293.394
000300.SH,2009/09/15,3302.642
000300.SH,2009/09/16,3258.236
000300.SH,2009/09/17,3320.096
000300.SH,2009/09/18,3199.689
000300.SH,2009/09/21,3208.604
000300.SH,2009/09/22,3131.026
000300.SH,2009/09/23,3060.069
000300.SH,2009/09/24,3080.926
000300.SH,2009/09/25,3058.528
000300.SH,2009/09/28,2972.643
000300.SH,2009/09/29,2972.286
000300.SH,2009/09/30,3004.805
000300.SH,2009/10/09,3163.708
000300.SH,2009/10/12,3151.632
000300.SH,2009/10/13,3198.517
000300.SH,2009/10/14,3227.399
000300.SH,2009/10/15,3239.643
000300.SH,2009/10/16,3241.709
000300.SH,2009/10/19,3329.158
000300.SH,2009/10/20,3377.574
000300.SH,2009/10/21,3369.285
000300.SH,2009/10/22,3347.32
000300.SH,2009/10/23,3413.252
000300.SH,2009/10/26,3414.239
000300.SH,2009/10/27,3314.722
000300.SH,2009/10/28,3329.327
000300.SH,2009/10/29,3247.051
000300.SH,2009/10/30,3280.372
000300.SH,2009/11/02,3392.803
000300.SH,2009/11/03,3435.425
000300.SH,2009/11/04,3453.888
000300.SH,2009/11/05,3464.318
000300.SH,2009/11/06,3483.021
000300.SH,2009/11/09,3495.788
000300.SH,2009/11/10,3503.776
000300.SH,2009/11/11,3495.674
000300.SH,2009/11/12,3499.992
000300.SH,2009/11/13,3518.722
000300.SH,2009/11/16,3625.798
000300.SH,2009/11/17,3628.354
000300.SH,2009/11/18,3630.229
000300.SH,2009/11/19,3642.437
000300.SH,2009/11/20,3631.013
000300.SH,2009/11/23,3665.509
000300.SH,2009/11/24,3548.08
000300.SH,2009/11/25,3629.629
000300.SH,2009/11/26,3485.773
000300.SH,2009/11/27,3382.51
000300.SH,2009/11/30,3511.669
000300.SH,2009/12/01,3560.831
000300.SH,2009/12/02,3597.329
000300.SH,2009/12/03,3590.876
000300.SH,2009/12/04,3643.491
000300.SH,2009/12/07,3668.832
000300.SH,2009/12/08,3624.019
000300.SH,2009/12/09,3554.478
000300.SH,2009/12/10,3577.237
000300.SH,2009/12/11,3575.02
000300.SH,2009/12/14,3612.753
000300.SH,2009/12/15,3583.341
000300.SH,2009/12/16,3560.723
000300.SH,2009/12/17,3480.153
000300.SH,2009/12/18,3391.735
000300.SH,2009/12/21,3396.622
000300.SH,2009/12/22,3305.543
000300.SH,2009/12/23,3336.48
000300.SH,2009/12/24,3438.817
000300.SH,2009/12/25,3424.783
000300.SH,2009/12/28,3478.433
000300.SH,2009/12/29,3500.737
000300.SH,2009/12/30,3558.857
000300.SH,2009/12/31,3575.684
000300.SH,2010/01/04,3535.229
000300.SH,2010/01/05,3564.038
000300.SH,2010/01/06,3541.727
000300.SH,2010/01/07,3471.456
000300.SH,2010/01/08,3480.13
000300.SH,2010/01/11,3482.052
000300.SH,2010/01/12,3534.916
000300.SH,2010/01/13,3421.144
000300.SH,2010/01/14,3469.051
000300.SH,2010/01/15,3482.738
000300.SH,2010/01/18,3500.684
000300.SH,2010/01/19,3507.482
000300.SH,2010/01/20,3394.434
000300.SH,2010/01/21,3408.574
000300.SH,2010/01/22,3366.197
000300.SH,2010/01/25,3328.014
000300.SH,2010/01/26,3242.797
000300.SH,2010/01/27,3198.566
000300.SH,2010/01/28,3206.57
000300.SH,2010/01/29,3204.155
000300.SH,2010/02/01,3152.707
000300.SH,2010/02/02,3146.189
000300.SH,2010/02/03,3230.715
000300.SH,2010/02/04,3218.802
000300.SH,2010/02/05,3153.087
000300.SH,2010/02/08,3150.988
000300.SH,2010/02/09,3169.19
000300.SH,2010/02/10,3214.13
000300.SH,2010/02/11,3220.398
000300.SH,2010/02/12,3251.278
000300.SH,2010/02/22,3233.345
000300.SH,2010/02/23,3198.634
000300.SH,2010/02/24,3244.483
000300.SH,2010/02/25,3292.128
000300.SH,2010/02/26,3281.666
000300.SH,2010/03/01,3324.423
000300.SH,2010/03/02,3311.236
000300.SH,2010/03/03,3335.081
000300.SH,2010/03/04,3250.573
000300.SH,2010/03/05,3259.764
000300.SH,2010/03/08,3286.178
000300.SH,2010/03/09,3305.863
000300.SH,2010/03/10,3279.694
000300.SH,2010/03/11,3276.705
000300.SH,2010/03/12,3233.126
000300.SH,2010/03/15,3183.183
000300.SH,2010/03/16,3203.971
000300.SH,2010/03/17,3273.916
000300.SH,2010/03/18,3267.555
000300.SH,2010/03/19,3293.871
000300.SH,2010/03/22,3302.628
000300.SH,2010/03/23,3275.573
000300.SH,2010/03/24,3276.669
000300.SH,2010/03/25,3229.128
000300.SH,2010/03/26,3275.002
000300.SH,2010/03/29,3358.54
000300.SH,2010/03/30,3366.708
000300.SH,2010/03/31,3345.607
000300.SH,2010/04/01,3391.935
000300.SH,2010/04/02,3407.346
000300.SH,2010/04/06,3405.145
000300.SH,2010/04/07,3386.949
000300.SH,2010/04/08,3346.744
000300.SH,2010/04/09,3379.17
000300.SH,2010/04/12,3351.478
000300.SH,2010/04/13,3391.716
000300.SH,2010/04/14,3403.707
000300.SH,2010/04/15,3394.574
000300.SH,2010/04/16,3356.332
000300.SH,2010/04/19,3176.423
000300.SH,2010/04/20,3173.374
000300.SH,2010/04/21,3236.679
000300.SH,2010/04/22,3201.541
000300.SH,2010/04/23,3190.003
000300.SH,2010/04/26,3171.997
000300.SH,2010/04/27,3108.409
000300.SH,2010/04/28,3097.353
000300.SH,2010/04/29,3060.064
000300.SH,2010/04/30,3067.365
000300.SH,2010/05/04,3019.449
000300.SH,2010/05/05,3036.394
000300.SH,2010/05/06,2896.856
000300.SH,2010/05/07,2836.789
000300.SH,2010/05/10,2858.233
000300.SH,2010/05/11,2800.817
000300.SH,2010/05/12,2818.16
000300.SH,2010/05/13,2886.911
000300.SH,2010/05/14,2868.023
000300.SH,2010/05/17,2714.715
000300.SH,2010/05/18,2771.348
000300.SH,2010/05/19,2762.174
000300.SH,2010/05/20,2726.022
000300.SH,2010/05/21,2768.791
000300.SH,2010/05/24,2873.469
000300.SH,2010/05/25,2813.943
000300.SH,2010/05/26,2813.944
000300.SH,2010/05/27,2859.979
000300.SH,2010/05/28,2850.302
000300.SH,2010/05/31,2773.264
000300.SH,2010/06/01,2744.162
000300.SH,2010/06/02,2757.527
000300.SH,2010/06/03,2736.076
000300.SH,2010/06/04,2744.391
000300.SH,2010/06/07,2695.715
000300.SH,2010/06/08,2699.336
000300.SH,2010/06/09,2782.133
000300.SH,2010/06/10,2750.023
000300.SH,2010/06/11,2758.866
000300.SH,2010/06/17,2742.733
000300.SH,2010/06/18,2696.166
000300.SH,2010/06/21,2780.663
000300.SH,2010/06/22,2783.72
000300.SH,2010/06/23,2758.495
000300.SH,2010/06/24,2757.498
000300.SH,2010/06/25,2736.287
000300.SH,2010/06/28,2716.777
000300.SH,2010/06/29,2592.019
000300.SH,2010/06/30,2563.07
000300.SH,2010/07/01,2526.071
000300.SH,2010/07/02,2534.105
000300.SH,2010/07/05,2512.651
000300.SH,2010/07/06,2562.902
000300.SH,2010/07/07,2580.477
000300.SH,2010/07/08,2575.921
000300.SH,2010/07/09,2647.104
000300.SH,2010/07/12,2676.218
000300.SH,2010/07/13,2634.593
000300.SH,2010/07/14,2653.609
000300.SH,2010/07/15,2608.519
000300.SH,2010/07/16,2616.128
000300.SH,2010/07/19,2682.472
000300.SH,2010/07/20,2741.503
000300.SH,2010/07/21,2747.335
000300.SH,2010/07/22,2781.286
000300.SH,2010/07/23,2793.076
000300.SH,2010/07/26,2811.055
000300.SH,2010/07/27,2795.724
000300.SH,2010/07/28,2863.724
000300.SH,2010/07/29,2877.976
000300.SH,2010/07/30,2868.846
000300.SH,2010/08/02,2917.275
000300.SH,2010/08/03,2865.971
000300.SH,2010/08/04,2876.434
000300.SH,2010/08/05,2850.829
000300.SH,2010/08/06,2897.659
000300.SH,2010/08/09,2918.241
000300.SH,2010/08/10,2832.638
000300.SH,2010/08/11,2850.211
000300.SH,2010/08/12,2816.386
000300.SH,2010/08/13,2855.547
000300.SH,2010/08/16,2922.083
000300.SH,2010/08/17,2942.291
000300.SH,2010/08/18,2937.362
000300.SH,2010/08/19,2955.395
000300.SH,2010/08/20,2898.333
000300.SH,2010/08/23,2896.192
000300.SH,2010/08/24,2911.827
000300.SH,2010/08/25,2843.023
000300.SH,2010/08/26,2850.093
000300.SH,2010/08/27,2858.566
000300.SH,2010/08/30,2915.01
000300.SH,2010/08/31,2903.188
000300.SH,2010/09/01,2884.042
000300.SH,2010/09/02,2921.393
000300.SH,2010/09/03,2920.205
000300.SH,2010/09/06,2975.09
000300.SH,2010/09/07,2983.108
000300.SH,2010/09/08,2980.967
000300.SH,2010/09/09,2926.46
000300.SH,2010/09/10,2932.554
000300.SH,2010/09/13,2962.319
000300.SH,2010/09/14,2965.009
000300.SH,2010/09/15,2913.194
000300.SH,2010/09/16,2857.789
000300.SH,2010/09/17,2861.369
000300.SH,2010/09/20,2849.828
000300.SH,2010/09/21,2857.476
000300.SH,2010/09/27,2905.029
000300.SH,2010/09/28,2880.907
000300.SH,2010/09/29,2874.812
000300.SH,2010/09/30,2935.574
000300.SH,2010/10/08,3044.233
000300.SH,2010/10/11,3132.895
000300.SH,2010/10/12,3172.726
000300.SH,2010/10/13,3217.577
000300.SH,2010/10/14,3224.14
000300.SH,2010/10/15,3327.683
000300.SH,2010/10/18,3306.16
000300.SH,2010/10/19,3375.674
000300.SH,2010/10/20,3396.879
000300.SH,2010/10/21,3374.685
000300.SH,2010/10/22,3378.655
000300.SH,2010/10/25,3481.081
000300.SH,2010/10/26,3466.084
000300.SH,2010/10/27,3403.872
000300.SH,2010/10/28,3397.692
000300.SH,2010/10/29,3379.983
000300.SH,2010/11/01,3472.995
000300.SH,2010/11/02,3463.131
000300.SH,2010/11/03,3420.341
000300.SH,2010/11/04,3480.505
000300.SH,2010/11/05,3520.798
000300.SH,2010/11/08,3548.566
000300.SH,2010/11/09,3523.954
000300.SH,2010/11/10,3499.111
000300.SH,2010/11/11,3509.975
000300.SH,2010/11/12,3291.833
000300.SH,2010/11/15,3314.893
000300.SH,2010/11/16,3169.538
000300.SH,2010/11/17,3103.906
000300.SH,2010/11/18,3147.962
000300.SH,2010/11/19,3178.846
000300.SH,2010/11/22,3171.941
000300.SH,2010/11/23,3107.176
000300.SH,2010/11/24,3177.043
000300.SH,2010/11/25,3223.484
000300.SH,2010/11/26,3194.853
000300.SH,2010/11/29,3190.05
000300.SH,2010/11/30,3136.985
000300.SH,2010/12/01,3136.024
000300.SH,2010/12/02,3155.059
000300.SH,2010/12/03,3158.156
000300.SH,2010/12/06,3165.57
000300.SH,2010/12/07,3200.339
000300.SH,2010/12/08,3171.882
000300.SH,2010/12/09,3123.366
000300.SH,2010/12/10,3161.977
000300.SH,2010/12/13,3261.061
000300.SH,2010/12/14,3269.474
000300.SH,2010/12/15,3247.644
000300.SH,2010/12/16,3230.665
000300.SH,2010/12/17,3225.661
000300.SH,2010/12/20,3178.657
000300.SH,2010/12/21,3249.509
000300.SH,2010/12/22,3215.453
000300.SH,2010/12/23,3188.607
000300.SH,2010/12/24,3162.955
000300.SH,2010/12/27,3099.709
000300.SH,2010/12/28,3044.931
000300.SH,2010/12/29,3061.83
000300.SH,2010/12/30,3064.098
000300.SH,2010/12/31,3128.261
000300.SH,2011/01/04,3189.682
000300.SH,2011/01/05,3175.662
000300.SH,2011/01/06,3159.643
000300.SH,2011/01/07,3166.624
000300.SH,2011/01/10,3108.187
000300.SH,2011/01/11,3124.922
000300.SH,2011/01/12,3142.337
000300.SH,2011/01/13,3141.284
000300.SH,2011/01/14,3091.862
000300.SH,2011/01/17,2974.35
000300.SH,2011/01/18,2977.648
000300.SH,2011/01/19,3044.851
000300.SH,2011/01/20,2944.713
000300.SH,2011/01/21,2983.456
000300.SH,2011/01/24,2954.232
000300.SH,2011/01/25,2938.654
000300.SH,2011/01/26,2978.431
000300.SH,2011/01/27,3026.466
000300.SH,2011/01/28,3036.735
000300.SH,2011/01/31,3076.508
000300.SH,2011/02/01,3077.283
000300.SH,2011/02/09,3040.949
000300.SH,2011/02/10,3104.163
000300.SH,2011/02/11,3120.956
000300.SH,2011/02/14,3219.143
000300.SH,2011/02/15,3217.671
000300.SH,2011/02/16,3248.527
000300.SH,2011/02/17,3245.907
000300.SH,2011/02/18,3211.876
000300.SH,2011/02/21,3257.908
000300.SH,2011/02/22,3163.578
000300.SH,2011/02/23,3174.742
000300.SH,2011/02/24,3190.935
000300.SH,2011/02/25,3197.617
000300.SH,2011/02/28,3239.559
000300.SH,2011/03/01,3254.893
000300.SH,2011/03/02,3243.298
000300.SH,2011/03/03,3221.718
000300.SH,2011/03/04,3270.666
000300.SH,2011/03/07,3334.51
000300.SH,2011/03/08,3337.457
000300.SH,2011/03/09,3338.858
000300.SH,2011/03/10,3280.259
000300.SH,2011/03/11,3247.376
000300.SH,2011/03/14,3262.92
000300.SH,2011/03/15,3203.961
000300.SH,2011/03/16,3248.195
000300.SH,2011/03/17,3197.1
000300.SH,2011/03/18,3215.685
000300.SH,2011/03/21,3207.11
000300.SH,2011/03/22,3222.961
000300.SH,2011/03/23,3264.926
000300.SH,2011/03/24,3251.361
000300.SH,2011/03/25,3294.484
000300.SH,2011/03/28,3290.571
000300.SH,2011/03/29,3257.979
000300.SH,2011/03/30,3256.08
000300.SH,2011/03/31,3223.288
000300.SH,2011/04/01,3272.729
000300.SH,2011/04/06,3311.067
000300.SH,2011/04/07,3324.419
000300.SH,2011/04/08,3353.358
000300.SH,2011/04/11,3333.427
000300.SH,2011/04/12,3326.771
000300.SH,2011/04/13,3372.031
000300.SH,2011/04/14,3353.56
000300.SH,2011/04/15,3358.944
000300.SH,2011/04/18,3359.438
000300.SH,2011/04/19,3295.812
000300.SH,2011/04/20,3295.758
000300.SH,2011/04/21,3317.367
000300.SH,2011/04/22,3299.942
000300.SH,2011/04/25,3249.574
000300.SH,2011/04/26,3230.96
000300.SH,2011/04/27,3209.503
000300.SH,2011/04/28,3161.776
000300.SH,2011/04/29,3192.723
000300.SH,2011/05/03,3211.132
000300.SH,2011/05/04,3129.028
000300.SH,2011/05/05,3126.117
000300.SH,2011/05/06,3121.396
000300.SH,2011/05/09,3129.759
000300.SH,2011/05/10,3153.221
000300.SH,2011/05/11,3145.085
000300.SH,2011/05/12,3101.603
000300.SH,2011/05/13,3128.093
000300.SH,2011/05/16,3100.463
000300.SH,2011/05/17,3116.028
000300.SH,2011/05/18,3139.379
000300.SH,2011/05/19,3120.639
000300.SH,2011/05/20,3121.596
000300.SH,2011/05/23,3022.98
000300.SH,2011/05/24,3026.223
000300.SH,2011/05/25,2990.343
000300.SH,2011/05/26,2978.381
000300.SH,2011/05/27,2963.308
000300.SH,2011/05/30,2954.506
000300.SH,2011/05/31,3001.556
000300.SH,2011/06/01,3004.173
000300.SH,2011/06/02,2955.705
000300.SH,2011/06/03,2986.349
000300.SH,2011/06/07,3004.262
000300.SH,2011/06/08,3008.652
000300.SH,2011/06/09,2951.889
000300.SH,2011/06/10,2961.932
000300.SH,2011/06/13,2950.348
000300.SH,2011/06/14,2993.559
000300.SH,2011/06/15,2963.119
000300.SH,2011/06/16,2917.578
000300.SH,2011/06/17,2892.157
000300.SH,2011/06/20,2874.896
000300.SH,2011/06/21,2909.073
000300.SH,2011/06/22,2908.582
000300.SH,2011/06/23,2957.629
000300.SH,2011/06/24,3027.47
000300.SH,2011/06/27,3036.491
000300.SH,2011/06/28,3041.734
000300.SH,2011/06/29,3000.169
000300.SH,2011/06/30,3044.089
000300.SH,2011/07/01,3049.745
000300.SH,2011/07/04,3121.98
000300.SH,2011/07/05,3122.5
000300.SH,2011/07/06,3113.712
000300.SH,2011/07/07,3101.68
000300.SH,2011/07/08,3109.183
000300.SH,2011/07/11,3113.206
000300.SH,2011/07/12,3056.905
000300.SH,2011/07/13,3106.247
000300.SH,2011/07/14,3115.745
000300.SH,2011/07/15,3128.889
000300.SH,2011/07/18,3122.6
000300.SH,2011/07/19,3095.125
000300.SH,2011/07/20,3091.567
000300.SH,2011/07/21,3059.139
000300.SH,2011/07/22,3067.985
000300.SH,2011/07/25,2968.289
000300.SH,2011/07/26,2977.766
000300.SH,2011/07/27,3000.052
000300.SH,2011/07/28,2981.002
000300.SH,2011/07/29,2972.079
000300.SH,2011/08/01,2977.721
000300.SH,2011/08/02,2956.383
000300.SH,2011/08/03,2954.87
000300.SH,2011/08/04,2960.309
000300.SH,2011/08/05,2897.417
000300.SH,2011/08/08,2793.897
000300.SH,2011/08/09,2798.19
000300.SH,2011/08/10,2824.12
000300.SH,2011/08/11,2866.924
000300.SH,2011/08/12,2875.365
000300.SH,2011/08/15,2917.883
000300.SH,2011/08/16,2897.581
000300.SH,2011/08/17,2886.013
000300.SH,2011/08/18,2834.254
000300.SH,2011/08/19,2807.664
000300.SH,2011/08/22,2777.787
000300.SH,2011/08/23,2821.003
000300.SH,2011/08/24,2810.016
000300.SH,2011/08/25,2903.837
000300.SH,2011/08/26,2901.216
000300.SH,2011/08/29,2852.809
000300.SH,2011/08/30,2841.74
000300.SH,2011/08/31,2846.776
000300.SH,2011/09/01,2834.535
000300.SH,2011/09/02,2803.854
000300.SH,2011/09/05,2743.817
000300.SH,2011/09/06,2723.303
000300.SH,2011/09/07,2779.09
000300.SH,2011/09/08,2756.105
000300.SH,2011/09/09,2751.095
000300.SH,2011/09/13,2720.283
000300.SH,2011/09/14,2733.108
000300.SH,2011/09/15,2729.051
000300.SH,2011/09/16,2733.987
000300.SH,2011/09/19,2679.27
000300.SH,2011/09/20,2689.845
000300.SH,2011/09/21,2771.011
000300.SH,2011/09/22,2685.688
000300.SH,2011/09/23,2669.478
000300.SH,2011/09/26,2610.919
000300.SH,2011/09/27,2637.879
000300.SH,2011/09/28,2610.59
000300.SH,2011/09/29,2588.185
000300.SH,2011/09/30,2581.351
000300.SH,2011/10/10,2557.082
000300.SH,2011/10/11,2551.994
000300.SH,2011/10/12,2644.758
000300.SH,2011/10/13,2662.601
000300.SH,2011/10/14,2653.782
000300.SH,2011/10/17,2666.951
000300.SH,2011/10/18,2592.209
000300.SH,2011/10/19,2583.081
000300.SH,2011/10/20,2520.532
000300.SH,2011/10/21,2507.877
000300.SH,2011/10/24,2576.669
000300.SH,2011/10/25,2625.425
000300.SH,2011/10/26,2651.652
000300.SH,2011/10/27,2657.478
000300.SH,2011/10/28,2709.017
000300.SH,2011/10/31,2695.307
000300.SH,2011/11/01,2697.534
000300.SH,2011/11/02,2742.39
000300.SH,2011/11/03,2744.301
000300.SH,2011/11/04,2763.746
000300.SH,2011/11/07,2736.248
000300.SH,2011/11/08,2727.71
000300.SH,2011/11/09,2751.654
000300.SH,2011/11/10,2699.588
000300.SH,2011/11/11,2695.002
000300.SH,2011/11/14,2750.195
000300.SH,2011/11/15,2744.68
000300.SH,2011/11/16,2670.116
000300.SH,2011/11/17,2662.017
000300.SH,2011/11/18,2606.495
000300.SH,2011/11/21,2609.687
000300.SH,2011/11/22,2609.475
000300.SH,2011/11/23,2584.011
000300.SH,2011/11/24,2588.915
000300.SH,2011/11/25,2569.973
000300.SH,2011/11/28,2573.321
000300.SH,2011/11/29,2608.569
000300.SH,2011/11/30,2521.52
000300.SH,2011/12/01,2583.613
000300.SH,2011/12/02,2557.311
000300.SH,2011/12/05,2521.385
000300.SH,2011/12/06,2516.341
000300.SH,2011/12/07,2528.228
000300.SH,2011/12/08,2525.001
000300.SH,2011/12/09,2503.461
000300.SH,2011/12/12,2477.692
000300.SH,2011/12/13,2421.928
000300.SH,2011/12/14,2397.48
000300.SH,2011/12/15,2340.788
000300.SH,2011/12/16,2390.129
000300.SH,2011/12/19,2384.408
000300.SH,2011/12/20,2377.073
000300.SH,2011/12/21,2339.108
000300.SH,2011/12/22,2341.335
000300.SH,2011/12/23,2359.159
000300.SH,2011/12/26,2335.702
000300.SH,2011/12/27,2305.035
000300.SH,2011/12/28,2307.928
000300.SH,2011/12/29,2311.361
000300.SH,2011/12/30,2345.742
000300.SH,2012/01/04,2298.753
000300.SH,2012/01/05,2276.385
000300.SH,2012/01/06,2290.601
000300.SH,2012/01/09,2368.57
000300.SH,2012/01/10,2447.349
000300.SH,2012/01/11,2435.608
000300.SH,2012/01/12,2435.219
000300.SH,2012/01/13,2394.334
000300.SH,2012/01/16,2345.649
000300.SH,2012/01/17,2460.601
000300.SH,2012/01/18,2422.189
000300.SH,2012/01/19,2468.35
000300.SH,2012/01/20,2504.086
000300.SH,2012/01/30,2460.72
000300.SH,2012/01/31,2464.26
000300.SH,2012/02/01,2428.994
000300.SH,2012/02/02,2486.238
000300.SH,2012/02/03,2506.09
000300.SH,2012/02/06,2504.322
000300.SH,2012/02/07,2457.954
000300.SH,2012/02/08,2528.236
000300.SH,2012/02/09,2529.231
000300.SH,2012/02/10,2533.624
000300.SH,2012/02/13,2531.981
000300.SH,2012/02/14,2522.107
000300.SH,2012/02/15,2549.607
000300.SH,2012/02/16,2536.074
000300.SH,2012/02/17,2537.086
000300.SH,2012/02/20,2540.706
000300.SH,2012/02/21,2562.453
000300.SH,2012/02/22,2597.476
000300.SH,2012/02/23,2606.256
000300.SH,2012/02/24,2648.017
000300.SH,2012/02/27,2656.573
000300.SH,2012/02/28,2662.463
000300.SH,2012/02/29,2634.143
000300.SH,2012/03/01,2633.345
000300.SH,2012/03/02,2679.934
000300.SH,2012/03/05,2662.698
000300.SH,2012/03/06,2621.052
000300.SH,2012/03/07,2603.005
000300.SH,2012/03/08,2635.791
000300.SH,2012/03/09,2664.302
000300.SH,2012/03/12,2654.402
000300.SH,2012/03/13,2681.073
000300.SH,2012/03/14,2605.106
000300.SH,2012/03/15,2585.546
